date,total_visits,total_bounces,bounce_per_visit
20160801,1711,728,0.42548217416715373
20160802,2140,962,0.44953271028037384
20160803,2890,1390,0.48096885813148788
20160804,3161,1553,0.49130022144890856
20160805,2702,1305,0.48297557364914878
20160806,1663,867,0.52134696331930241
20160807,1622,874,0.53884093711467329
20160808,2815,1292,0.45896980461811721
20160809,2851,1361,0.47737635917222027
20160810,2757,1386,0.50272034820457023
20160811,2667,1289,0.48331458567679042
20160812,2619,1198,0.45742649866361207
20160813,1596,903,0.56578947368421051
20160814,1801,993,0.55136035535813432
20160815,3043,1420,0.46664475846204406
20160816,2873,1386,0.48242255482074486
20160817,2799,1371,0.48981779206859594
20160818,2725,1346,0.49394495412844036
20160819,2379,1134,0.47667087011349307
20160820,1664,872,0.52403846153846156
20160821,1730,940,0.54335260115606931
20160822,2584,1207,0.46710526315789475
20160823,2754,1367,0.4963689179375454
20160824,2627,1251,0.47620860296916634
20160825,2539,1223,0.48168570303269004
20160826,2359,1159,0.4913098770665536
20160827,1654,902,0.54534461910519949
20160828,1682,896,0.53269916765755054
20160829,2454,1198,0.48818255908720454
20160830,2675,1319,0.49308411214953268
20160831,3223,1493,0.46323301272106732
20160901,2687,1276,0.47487904726460739
20160902,2613,1324,0.5066972828166858
20160903,1741,958,0.55025847214244683
20160904,1692,932,0.55082742316784872
20160905,2125,1156,0.544
20160906,2508,1228,0.48963317384370014
20160907,2562,1246,0.48633879781420764
20160908,2628,1302,0.4954337899543379
20160909,2549,1197,0.46959591996861516
20160910,1671,854,0.51107121484141238
20160911,1725,943,0.54666666666666663
20160912,2465,1167,0.47342799188640972
20160913,2396,1147,0.47871452420701166
20160914,2652,1226,0.4622926093514329
20160915,2949,1317,0.44659206510681587
20160916,2603,1240,0.47637341529004995
20160917,1853,994,0.5364274150026983
20160918,1822,913,0.50109769484083422
20160919,2689,1292,0.48047601338787654
20160920,2760,1325,0.48007246376811596
20160921,2720,1253,0.46066176470588233
20160922,2581,1242,0.48120883378535451
20160923,2381,1140,0.47879042419151618
20160924,1845,978,0.53008130081300808
20160925,1877,988,0.5263718700053277
20160926,2776,1307,0.470821325648415
20160927,2727,1309,0.48001466813348004
