country,visits,bounces,transactions,revenue,screenviews,time
United States,363457,127213,11396,1655376710000,,
India,50985,29941,10,750660000,,
United Kingdom,37251,22765,19,1962360000,,
Canada,25784,9498,199,34921890000,,
Vietnam,24578,15045,,,,
Turkey,20497,13875,2,117410000,,
Thailand,20095,12640,5,491710000,,
Germany,19889,12354,8,586340000,,
Brazil,19756,13020,10,688830000,,
Japan,19690,11321,18,7629130000,,
France,15792,9483,5,468080000,,
Mexico,13198,8137,20,1682790000,,
Taiwan,12975,6786,19,2015890000,,
Australia,12654,6964,13,1811260000,,
Spain,11636,7180,2,399790000,,
Russia,11621,8411,4,111940000,,
Netherlands,11427,6612,3,279050000,,
Italy,11301,7119,2,209090000,,
Poland,9670,6312,3,245000000,,
Indonesia,9258,5705,18,2678140000,,
Philippines,9226,5441,3,158030000,,
Singapore,7156,3917,11,907210000,,
Ireland,6478,3821,6,181860000,,
Romania,6421,3736,1,81960000,,
Malaysia,6421,3830,3,480850000,,
Ukraine,5571,3755,5,503520000,,
Israel,5549,3214,6,640600000,,
Peru,5542,3589,2,139580000,,
Sweden,5308,3177,3,178810000,,
South Korea,5233,3232,8,789710000,,
Argentina,5030,3096,5,289440000,,
Colombia,4871,2915,8,654870000,,
Hong Kong,4704,2601,9,1505960000,,
Belgium,4433,2674,5,1014050000,,
Switzerland,4414,2490,9,645820000,,
Czechia,4237,2644,1,50790000,,
Pakistan,4002,2479,1,59950000,,
China,3872,2565,6,246670000,,
Greece,3365,2070,3,177330000,,
Denmark,3311,1880,1,27000000,,
United Arab Emirates,3137,1925,3,383060000,,
Saudi Arabia,3129,2086,3,276080000,,
Austria,2788,1738,,,,
Hungary,2508,1524,1,40590000,,
Portugal,2371,1440,1,222800000,,
Egypt,2333,1552,1,58960000,,
Bangladesh,2292,1416,,,,
Norway,2243,1296,,,,
New Zealand,2185,1212,1,51970000,,
Venezuela,2128,1175,153,36082250000,,
South Africa,2095,1291,2,76700000,,
Algeria,2047,1481,,,,
Bulgaria,2043,1261,,,,
Chile,1944,1254,5,274260000,,
Morocco,1905,1266,,,,
Serbia,1868,1181,,,,
Slovakia,1783,1097,,,,
Sri Lanka,1466,780,,,,
(not set),1463,882,6,801780000,,
Nigeria,1440,955,2,3314400000,,
Croatia,1394,872,,,,
Ecuador,1251,819,4,691930000,,
Tunisia,1194,814,,,,
Belarus,976,679,,,,
Kazakhstan,967,687,2,44980000,,
Finland,957,510,1,57990000,,
Dominican Republic,929,545,,,,
Bosnia & Herzegovina,902,628,,,,
Georgia,887,571,2,49980000,,
Jordan,858,538,,,,
Macedonia (FYROM),846,542,,,,
Lithuania,843,533,,,,
Kenya,769,430,3,5285700000,,
Puerto Rico,730,282,11,1254840000,,
Slovenia,727,461,,,,
Iraq,710,482,,,,
Latvia,702,466,,,,
Estonia,654,354,,,,
Uruguay,627,355,1,9500000,,
Guatemala,580,249,2,70150000,,
Azerbaijan,568,389,,,,
Costa Rica,552,268,,,,
Albania,547,376,,,,
Qatar,533,335,,,,
Cambodia,522,318,,,,
Kuwait,521,314,2,241220000,,
Panama,475,251,2,121730000,,
Cyprus,461,290,1,76440000,,
Kosovo,434,271,,,,
Lebanon,397,257,1,47770000,,
El Salvador,393,162,1,80890000,,
Ghana,381,241,,,,
Moldova,318,213,,,,
Côte d’Ivoire,318,165,,,,
Bolivia,316,210,,,,
Oman,304,185,,,,
Armenia,280,184,1,34480000,,
Tanzania,259,151,,,,
Bahrain,255,146,,,,
Mongolia,241,155,,,,
Nepal,211,145,,,,
Myanmar (Burma),196,94,,,,
Palestine,191,113,,,,
Honduras,188,97,,,,
Cameroon,175,109,,,,
Malta,175,100,,,,
Uganda,166,104,,,,
Trinidad & Tobago,163,77,,,,
Laos,161,102,,,,
Luxembourg,156,69,,,,
Jamaica,153,82,,,,
Senegal,151,101,,,,
Réunion,145,82,,,,
Iceland,141,81,,,,
Nicaragua,139,73,1,64990000,,
Ethiopia,137,85,,,,
Kyrgyzstan,134,106,,,,
Paraguay,132,63,,,,
Macau,115,77,,,,
Montenegro,110,80,,,,
Congo - Kinshasa,103,63,,,,
Uzbekistan,96,74,,,,
Yemen,96,63,,,,
Libya,92,68,,,,
Sudan,92,54,,,,
Maldives,89,60,,,,
Mauritius,87,56,,,,
Mozambique,74,46,,,,
Brunei,65,33,,,,
Martinique,60,32,,,,
Zimbabwe,59,43,,,,
Angola,58,33,,,,
Afghanistan,57,37,,,,
Barbados,55,31,,,,
Madagascar,47,32,,,,
Rwanda,46,28,,,,
Fiji,44,33,,,,
Benin,42,19,,,,
Guam,41,20,,,,
Jersey,41,27,,,,
Iran,41,27,,,,
Bahamas,40,23,,,,
Mauritania,40,23,,,,
Zambia,40,24,,,,
Somalia,39,22,,,,
Bermuda,38,18,,,,
Burkina Faso,37,24,,,,
Haiti,37,25,,,,
Namibia,36,23,,,,
Mali,35,24,,,,
Togo,32,20,,,,
Guinea,30,11,,,,
Curaçao,30,13,1,208330000,,
Suriname,30,17,,,,
Aruba,29,19,,,,
Guadeloupe,29,17,1,29180000,,
Belize,27,14,,,,
Guyana,27,10,,,,
Guernsey,25,12,,,,
Gabon,25,16,,,,
New Caledonia,23,12,,,,
St. Lucia,23,6,2,126210000,,
Grenada,22,8,,,,
U.S. Virgin Islands,22,10,,,,
Monaco,21,8,,,,
Chad,20,12,,,,
French Polynesia,20,10,,,,
Faroe Islands,18,10,,,,
French Guiana,18,15,,,,
Cape Verde,18,9,,,,
Andorra,17,11,,,,
Mayotte,14,10,,,,
Botswana,14,8,,,,
Cayman Islands,14,5,,,,
Turks & Caicos Islands,14,8,,,,
Swaziland,14,11,,,,
Malawi,12,10,,,,
Northern Mariana Islands,12,5,,,,
Tajikistan,12,9,,,,
Burundi,12,6,,,,
Papua New Guinea,11,5,,,,
Gibraltar,10,6,,,,
St. Vincent & Grenadines,10,5,,,,
Djibouti,10,8,,,,
Gambia,10,7,,,,
Niger,10,7,,,,
Syria,10,7,,,,
St. Kitts & Nevis,8,2,,,,
Sint Maarten,8,3,,,,
Bhutan,8,5,,,,
Liberia,8,5,,,,
Sierra Leone,8,4,,,,
Liechtenstein,7,5,,,,
Timor-Leste,7,4,,,,
Lesotho,6,3,,,,
Antigua & Barbuda,5,2,,,,
Turkmenistan,5,3,,,,
Greenland,5,3,,,,
British Virgin Islands,5,2,,,,
Caribbean Netherlands,4,4,,,,
Guinea-Bissau,4,3,,,,
San Marino,4,2,,,,
Equatorial Guinea,4,,,,,
Central African Republic,4,2,,,,
Seychelles,3,3,,,,
Vanuatu,3,3,,,,
Dominica,3,,,,,
Congo - Brazzaville,3,1,,,,
Cook Islands,3,2,,,,
Isle of Man,3,1,,,,
Comoros,2,2,,,,
