visitId,transaction_during_visit,time_during_visit
1471889014,93450000,899
1471885798,185430000,632
1482272133,13590000,828
1482271654,44800000,721
1490821143,1366860000,449
1495649762,18990000,1231
1495249699,84070000,1564
1495206993,199980000,200
1498780242,18470000,1206
1477502035,99170000,782
1477514258,31990000,1181
1470999005,28950000,815
1471027289,16810000,2279
1474482100,4990000,179
1474491288,55970000,443
1483496326,27190000,1199
1500660701,55020000,869
1500668164,96550000,1338
1481213232,19970000,2458
1481257903,74990000,410
1481231863,108750000,970
1483657525,18980000,931
1497048235,36480000,1047
1482946850,135930000,507
1489176873,35980000,358
1476722496,17190000,1588
1489377952,15190000,928
1480704314,37570000,2883
1490030833,79160000,641
1496354721,107170000,516
1496317173,18990000,2558
1499785312,96000000,2735
1499809854,96760000,1597
1482070437,46370000,2200
1482123086,70950000,818
1472079950,76550000,1337
1471192745,84230000,1210
1488177360,34910000,2073
1473964149,44790000,164
1489432478,163900000,1446
1479436538,19590000,765
1479406763,54360000,2730
1481045085,366850000,246
1481081528,46370000,600
1481075966,74390000,583
1481089987,52750000,887
1481321041,16730000,317
1481325142,55990000,593
1497899846,79300000,486
1497936634,139080000,4947
1474052262,31950000,730
1474037712,179610000,896
1472599598,167480000,274
1479674169,45570000,819
1488772821,1990000,1690
1496253917,25880000,860
1498831517,68160000,5063
1475624135,47970000,973
1475617518,39990000,620
1476014686,27990000,1398
1476036977,76760000,713
1499879049,15990000,642
1496711416,139430000,4528
1496777255,3990000,333
1501119483,22790000,2564
1470734433,21460000,1265
1494117230,18980000,367
1470512012,64100000,1215
1476320021,106750000,1193
1476286322,149380000,1279
1490392519,102980000,1493
1479334274,16990000,1307
1480890251,59960000,759
1481395998,204590000,1754
1481409759,41950000,831
1473402660,104550000,
1488209831,49170000,1275
1488224713,49960000,2215
1491797192,16990000,504
1481736624,18990000,492
1481738160,55150000,1035
1492483461,15190000,1305
1492466267,965770000,1199
1480988061,18990000,415
1480965033,25960000,1187
1480951264,37570000,532
1480993444,33980000,607
1479958682,34990000,464
1494455686,50940000,645
1495326597,107740000,503
1495294148,6980000,425
1500063343,77330000,2404
1500043639,109990000,1520
1500042118,44790000,490
1500033101,50000000,2304
1498432663,52280000,1450
1489260646,48770000,593
1489294182,57550000,622
1495820440,252000000,674
1500923666,59320000,449
1496447670,22490000,128
1496423769,159800000,539
1496419843,43970000,714
1471295144,22480000,220
1471267283,334860000,246
1471291005,49290000,1398
